Sloka,Class,EnglishTranslation
बह्वाश्र्चर्या हि मेदनी ॥   ,sanskrit-slogan,There are many hymns of the earth.
  तावद् भयेषु भेतव्यं यावद्भयमनागतम्।                                    आगतं तु भयं दृष्टवा प्रहर्तव्यमशङ्कया॥,Chanakya Slokas,"Fear in fears until fear has come.Seeing the fear that had come, he should be stricken with fear."
 दुर्जनेषु च सर्पेषु वरं सर्पो न दुर्जनः।                                  सर्पो दंशति कालेन दुर्जनस्तु पदे-पदे ॥,Chanakya Slokas,"And among the wicked snakes the snake is not evil.A snake bites a snake in time, but a wicked man is at every step."
नाक्रोशी स्यात्रावमानी परस्य मित्रद्रोही नोत निचोपसेवी।                           न चाभिमानी न च हीनवृत्तों रुक्षां वाचं रुषतीं वर्जयीत॥                               ,Vidur Niti Slokas,"Nakroshi would be a Ravamani, a betrayer of friends, not a chope-server.He should not be proud, nor deficient in his conduct, nor should he avoid harsh words, anger."
स्वमर्थं यः परित्यज्य परार्थमनुतिष्ठति।                          मिथ्या चरति मित्रार्थे यश्च मूढः स उच्यते ॥    ,Vidur Niti Slokas,He who abandons his own interest and abides for the sake of others.He who walks falsely for the sake of his friend is called a fool
रोहते सायकैर्विद्धं वनं परशुना हतम्।                            वाचा दुरुक्तं बीभत्सं न संरोहति वाक्क्षतम्  ॥    ,Vidur Niti Slokas,The forest shot by the arrows grows and killed by an axe.A terrible thing that is difficult to speak does not grow up in speech.
 लालनाद् बहवो दोषास्ताडनाद् बहवो गुणाः।                                   तस्मात्पुत्रं च शिष्यं च ताडयेन्न तु लालयेत् ॥,Chanakya Slokas,"There are many faults from nurturing many virtuesTherefore one should beat his son and disciple, but should not nurture."
एक: पापानि कुरुते फलं भुङ्क्ते महाजन:।                            भोक्तारो विप्रमुच्यन्ते कर्ता दोषेण लिप्यते ॥    ,Vidur Niti Slokas,One commits sins and the great man enjoys the fruits.The enjoyers are released from the brāhmaṇas and the doer is tainted by the fault.
 देहाभिमानगलिते ज्ञानेन परमात्मनः।                                   यत्र यत्र मनो याति तत्र तत्र समाधयः॥,Chanakya Slokas,"By the knowledge of the body's pride, the Supreme Self.Wherever the mind goes, there are meditations."
सिंहादेकं बकादेकं शिक्षेच्चत्वारि कुक्कुटात्।                                  वायसात्पञ्च शिक्षेच्च षट् शुनस्त्रीणि गर्दभात्॥,Chanakya Slokas,One should learn one of the lions and one of the four chickens.From the crow he should learn six dogs from the donkey and from the donkey.
कुपुत्रो जायेत क्वचिदपि कुमाता न भवति ॥   ,sanskrit-slogan,A bad son is born and a bad mother is never born.
किन्नु मे स्यादिदं कृत्वा किन्नु मे स्यादकुर्वतः ।                            इति कर्माणि सञ्चिन्त्य कुरयड् कुर्याद् वा पुरुषो न वा॥    ,Vidur Niti Slokas,"What can I do for me and what will I do for I do not do it?Thinking thus, he should perform the Kurayad, whether he is a man or not."
प्रायेण श्रीमतां लोके भोक्तुं शक्तिर्न विद्यते।                            जीर्यन्त्यपि हि काष्ठानि दरिद्राणां महीपते ॥                               ,Vidur Niti Slokas,"There is almost no power to enjoy in the world of the rich.O King, even the wood of the poor are old, even if they are old."
 अनागतं यः कुरुते स शोभते ॥  ,sanskrit-slogan,He who does what has not come is beautiful.
सेवाधर्मः परमगहनो ॥     ,sanskrit-slogan,The religion of service is the supreme deep.
 एकमेवाक्षरं यस्तु गुरुः शिष्यं प्रबोधयेत् ।                                 पृथिव्यां नास्ति तद्द्रव्यं यद् दत्त्वा चाऽनृणी भवेत् ॥,Chanakya Slokas,The teacher who awakens the disciple in the same syllable.There is nothing on earth that is not debt to give it to the person who gives it to him.
 किं करोत्येव पाण्डित्यमस्थाने   विनियोजितम्  ॥    ,sanskrit-slogan,What is the use of employment in the place of the wisdom?
मन एव मनुष्याणां कारणं बन्धमोक्षयोः ॥   ,sanskrit-slogan,The mind is the cause of bondage and liberation for human beings.
धनिकः श्रोत्रियो राजा नदी वैद्यस्तु पञ्चमः।                                   पञ्च यत्र न विद्यन्ते न तत्र दिवसे वसेत ॥,Chanakya Slokas,"The fifth is the rich, the listener, the king, the river, the physician.Where there are no five, one should not live in a day."
 स्वभावेन हि तुष्यन्ति देवाः सत्पुरुषाः पिताः।                                    ज्ञातयः स्नानपानाभ्यां वाक्यदानेन पण्डिताः॥,Chanakya Slokas,For by nature the gods are pleased with the gods and fathers.The wise men by giving words by bathing and drinking words
 किं कुलेन विशालेन विद्याहीने च देहिनाम्।                                    दुष्कुलं चापि विदुषी देवैरपि हि पूज्यते॥,Chanakya Slokas,What is the use of a vast family and without knowledge of the embodied.Even a learned man is worshiped even by the gods
पितृपैतामहं राज्यं प्राप्तवान् स्वेन कर्मणा।                            वायुरभ्रमिवासाद्य भ्रंशयत्यनये स्थितः ॥                               ,Vidur Niti Slokas,I have attained the kingdom by my father and grandfather.The wind blows in the sky and moves away from the sky.
 एकोऽपि गुणवान् पुत्रो निर्गुणैश्च शतैर्वरः।                                    एकश्चन्द्रस्तमो हन्ति न च ताराः सहस्रशः॥,Chanakya Slokas,A single virtuous son is a boon by hundreds of hundreds of virtues.One moon kills darkness and not thousands of stars.
जनिता चोपनेता च यस्तु विद्यां प्रयच्छति।                                   अन्नदाता भयत्राता पञ्चैता पितरः स्मृताः॥,Chanakya Slokas,He who gives knowledge to the mother and the leader.These five fathers are considered to be the giver of food to fear
प्रवृत्तवाक् विचित्रकथ ऊहवान् प्रतिभानवान्।                            आशु ग्रन्थस्य वक्ता च यः स पण्डित उच्यते ॥                               ,Vidur Niti Slokas,The initiated speech was strange and talented.He who is quick to speak of the text is called a learned man.
 तृणं ब्रह्मविद स्वर्गं तृणं शूरस्य जीवनम्।                                  जिमाक्षस्य तृणं नारी निःस्पृहस्य तृणं जगत्॥,Chanakya Slokas,"The grass of the Brahma-knowing is heaven, and grass is the life of a hero.A woman who has no desire for the sake of Jimaksha is the world of grass"
  अनन्तशास्त्रं बहुलाश्च विद्या अल्पं च कालो बहुविघ्नता च ।                                     आसारभूतं तदुपासनीयं हंसो यथा क्षीरमिवाम्बुमध्यात्॥,Chanakya Slokas,There are many infinite scriptures and many knowledges are small time and many obstaclesIt is to be worshiped as a swan like milk from the middle of the water
दुर्बलाश्रयो दुःखमावहति ॥   ,sanskrit-slogan,Weak sadness is due to sorrow.
न विश्चसेदविश्चस्ते विश्चस्ते नातिविश्चसेत्।                            विश्चासाद् भयमुत्पन्न मुलान्यपि निकृन्तति ॥                               ,Vidur Niti Slokas,"He will not be victimized and he will not be able to escape.From the scene, the roots of the trees are cut off from the roots."
अश्रुतश्च समुत्रद्धो दरिद्रश्य महामनाः।                            अर्थांश्चाकर्मणा प्रेप्सुर्मूढ इत्युच्यते बुधैः ॥    ,Vidur Niti Slokas,"And unheard of, he was filled with the poor and great-minded.A person who desires wealth by inaction is called a fool by the wise."
न मातुः परदैवतम् ॥   ,sanskrit-slogan,Not a mother of the other deity of the mother.
किं तया क्रियते धेन्वा या न दोग्ध्रो न गर्भिणी।                                कोऽर्थः पुत्रेण जातेन यो न विद्वान्न भक्तिमान्॥,Chanakya Slokas,What is the use of a cow that is not milked or pregnantWhat is the use of a son born of a son who is neither a learned nor a devotee.
धनात् धर्मः भवति ॥   ,sanskrit-slogan,Wealth is religion.
लोभः प्रज्ञानमाहन्ति ॥   ,sanskrit-slogan,Greed is the source of wisdom.
अनारभ्या भवन्त्यर्थाः केचित्रित्यं तथाऽगताः ।                            कृतः पुरुषकारो हि भवेद् येषु निरर्थकः ॥  ,Vidur Niti Slokas,"Some of the meanings are not beginnings, and so have come to be so.A man who has done a man should be useless in those who are useless"
   बुद्धिर्यस्य बलं तस्य निर्बुद्धेस्तु कुतो बलम्।                                     वने सिंहो मदोन्मत्तः शशकेन निपातितः॥,Chanakya Slokas,Where is the strength of his intelligence whose strength is not enlightenedThe lion was mad in the forest and was thrown down by a rabbit
 अनभ्यासे विषं शास्त्रमजीर्णे भोजनं विषम्।                                    दरिद्रस्य विषं गोष्ठी वृद्धस्य तरुणी विषम्॥,Chanakya Slokas,Poison in non-practice is poison in digestion and poison is poison.The poison of the poor is the cowherd of the old man and the young poison is poisonous
 प्रलये भिन्नमर्यादा भवन्ति किल सागराः।                                    सागरा भेदमिच्छन्ति प्रलयेऽपि न साधवः॥,Chanakya Slokas,The oceans are different limits in the catastrophe.The oceans desire differences even at the time of annihilation
न चातिगुणवत्स्वेषा नान्यन्तं निर्गुणेषु च।                             नेषा गुणान् कामयते नैर्गुण्यात्रानुरज़्यते।                              उन्मत्ता गौरिवान्धा श्री क्वचिदेवावतिष्ठते॥                               ,Vidur Niti Slokas,"Nor is it excessively virtuous, nor is there any other end in the devoid of the modes.This does not desire the virtues of the non-quality.The madman is like a cow, and the goddess of fortune remains somewhere."
 कार्य पुरुषकारेण लक्ष्यं सम्पद्यते ॥ ,sanskrit-slogan,The target is achieved by the action of the man.
कुग्रामवासः कुलहीन सेवा कुभोजन क्रोधमुखी च भार्या।                                      पुत्रश्च मूर्खो विधवा च कन्या विनाग्निमेते प्रदहन्ति कायम्॥,Chanakya Slokas,"A bad village, a family without a family, a bad food and a wife to anger.A son and a fool and a widow are a daughter without fire and these burn the body"
वृत्ततस्त्वाहीनानि कुलान्यल्पधनान्यपि।                            कुलसंख्यां च गच्छन्ति कर्षन्ति च महद् यशः॥                               ,Vidur Niti Slokas,Even the families of the family without youThey go to the number of families and attract great fame
न कुलं वृत्तहीनस्य प्रमाणमिति में मतिः ।                            अन्तेष्वपि हि जातानां वृतमेव विशिष्यते ॥ ,Vidur Niti Slokas,"I don’t think that the family is the proof of the circumstances.Even at the end of the body, the circumstances are superior to those who are born."
 परिश्रमस्य फलं मधुरं भवति ॥  ,sanskrit-slogan,The fruit of hard work is sweet.
नोपकारात् परो धर्मो नापकारादधं परम् ॥   ,sanskrit-slogan,"There is no religion greater than benefits, nor is there any other religion than harm."
 परस्परस्य मर्माणि ये भाषन्ते नराधमाः।                                     ते एव विलयं यान्ति वल्मीकोदरसर्पवत्॥,Chanakya Slokas,Those who speak the hearts of each other are the lowest of men.They alone merge like an anthill and a snake
श्रुत्वा धर्म विजानाति श्रुत्वा त्यजति दुर्मतिम्।                                  श्रुत्वा ज्ञानमवाप्नोति श्रुत्वा मोक्षमवाप्नुयात्॥,Chanakya Slokas,"He hears the righteousness of the righteous and hears the wicked.Hearing, he attains knowledge, and by hearing, he attains liberation."
सर्वे मित्राणि समृध्दिकाले ॥   ,sanskrit-slogan,All the friends are in the time of prosperity.
 आतुरे व्यसने प्राप्ते दुर्भिक्षे शत्रुसण्कटे।                                    राजद्वारे श्मशाने च यात्तिष्ठति स बान्धवः ॥,Chanakya Slokas,In afflicted adversity in the famine of the enemyHe goes to the gate of the king and to the cemetery and to stay that relative.
भावमिच्छति सर्वस्य नाभावे कुरुते मनः।                             सत्यवादी मृदृर्दान्तो यः स उत्तमपूरुषः ॥                               ,Vidur Niti Slokas,He desires the feeling of everything and does not make the mind in the absence.He who is truthful and soft-spoken is the best man.
 सुखार्थी चेत् त्यजेद्विद्यां त्यजेद्विद्यां विद्यार्थी चेत् त्यजेत्सुखम्।                                  सुखार्थिनः कुतो विद्या कुतो विद्यार्थिनः सुखम्॥,Chanakya Slokas,"If one seeks happiness, one should abandon knowledge, and if one seeks knowledge, one should abandon happiness.Where is knowledge for those seeking happiness and where is happiness for those seeking knowledge?"
 सत्यं माता पिता ज्ञानं धर्मो भ्राता दया सखा।                                   शान्तिः पत्नी क्षमा पुत्रः षडेते मम बान्धवाः॥,Chanakya Slokas,"Truth, mother, father, knowledge, righteousness, brother, compassion and friend.Shanti, wife, Kshama, son, these six are my relatives."
 सुख-दुर्लभं हि सदा सुखम् ॥  ,sanskrit-slogan,Happiness is always rare for happiness.
दुराचारी च दुर्दृष्टिर्दुराऽऽवासी च दुर्जनः।                                 यन्मैत्री क्रियते पुम्भिर्नरः शीघ्र विनश्यति ॥,Chanakya Slokas,He is a bad guy and a bad guard and a bad resident and a bad man.The friendship that a man makes a man is quickly destroyed.
 को लोकमाराधयितुं समर्थः ॥  ,sanskrit-slogan,Translation Error
 अनागत विधाता च प्रत्युत्पन्नगतिस्तथा।                                    द्वावातौ सुखमेवेते यद्भविष्यो विनश्यति॥,Chanakya Slokas,and the uncoming creator and the reproductive movement.These are the happiness of the two winds that the future is destroyed.
दुष्टा भार्या शठं मित्रं भृत्यश्चोत्तरदायकः।                           ससर्पे गृहे वासो मृत्युरेव न संशयः॥,Chanakya Slokas,Translation Error
 विद्या योगेन रक्ष्यते ॥  ,sanskrit-slogan,Knowledge is protected by yoga.
   वित्तेन रक्ष्यते धर्मो विद्या योगेन रक्ष्यते।                                     मृदुना रक्ष्यते भूपः सत्स्त्रिया रक्ष्यते गृहम्॥,Chanakya Slokas,"Finance is protected by righteousness, knowledge is protected by yoga.The king is protected by the soft and the house is protected by a woman"
 सुश्रान्तोऽपि वहेद् भारं शीतोष्णं न पश्यति।                                   सन्तुष्टश्चरतो नित्यं त्रीणि शिक्षेच्च गर्दभात्॥,Chanakya Slokas,Even if he is very tired he carries the burden he does not see the cold and heat.Satisfied one should always be satisfied with the donkeys from the donkey
   अनवस्थितकायस्य न जने न वने सुखम्।                                     जनो दहति संसर्गाद् वनं सगविवर्जनात॥,Chanakya Slokas,Translation Error
अनर्थंमर्थंतः पश्यत्रर्थं चैवाप्यनर्थतः।                            इन्द्रियैरजितैर्बालः सुदुःखं मन्यते सुखम् ॥  ,Vidur Niti Slokas,Translation Error
 कृतज्ञः सर्वलोकेषु पूज्यो भवति सर्वदा ॥  ,sanskrit-slogan,He who is grateful is always worshiped in all the worlds.
दीयमानं हि नापैति भूय एवाभिवर्तते ॥   ,sanskrit-slogan,"When the gift is given, it does not come back to it."
द्वे कर्मणी नरः कुर्वन्नस्मिंल्लोके विरोचते।                            अब्रुवं परुषं कश्चित् असतोऽनर्चयंस्तथा ॥    ,Vidur Niti Slokas,A man who performs two actions shines in this world.Someone who is not worshiping the truth is harshly harshly.
आत्मनाऽऽत्मानमन्विच्छेन्मनोबुद्धीन्द्रियैर्यतैः।                            आत्मा ह्वोवात्मनो बन्धुरात्मैव रिपुरात्मनः ॥                               ,Vidur Niti Slokas,Translation Error
 वरं वनं व्याघ्रगजेन्द्रसेवितं द्रुमालयः पत्रफलाम्बु सेवनम्।                                   तृणेशु शय्या शतजीर्णवल्कलं न बन्धुमध्ये धनहीनजीवनम्॥,Chanakya Slokas,"The forest is a forest, a garland of trees and elephants, a garland of leaves, fruits and water.There is no life without wealth in the midst of a relative with grass in grass"
 दातृत्वं प्रियवक्तृत्वं धीरत्वमुचितज्ञता।                                    अभ्यासेन न लभ्यन्ते चत्वारः सहजा गुणाः॥,Chanakya Slokas,"The giver is the beloved speaker, the patience is the right knowledge.The four inherent qualities are not attained by practice."
दुःसाध्यमपि सुसाध्यं करोत्युपायज्ञः ॥   ,sanskrit-slogan,A person who knows the means does what is difficult to achieve and is well achievable.
सामुद्रिकं वणिजं चोरपूर्व शलाकधूर्त्त च चिकित्सकं च।                            अरिं च मित्रं च कुशीलवं च नैतान्साक्ष्ये त्वधिकुर्वीतसप्त॥                               ,Vidur Niti Slokas,"The sea, the merchant, the thief, the bar, the slave, the physician, and the physician.There are seven enemies of the enemy and the friend and the good of the virtuous"
यत्नवान् सुखमेधते ॥   ,sanskrit-slogan,Efforts are happily prosperous.
जानीयात्प्रेषणेभृत्यान् बान्धवान्व्यसनाऽऽगमे।                                 मित्रं याऽऽपत्तिकालेषु भार्यां च विभवक्षये ॥,Chanakya Slokas,He should know the servants of the sending servants in the coming of the trouble.She is a friend at the time of trouble and her wife is at the end of her opulence.
विद्यया लभते ज्ञानम् ॥   ,sanskrit-slogan,By knowledge one attains knowledge.
 अन्यायोपार्जितं वित्तं दशवर्षाणि तिष्ठति ।                                  प्राप्ते चैकादशे वर्षे समूलं तद् विनश्यति॥,Chanakya Slokas,The money earned in unjustly remains for ten years.When the eleventh year comes it is completely destroyed
न वैरमुद्दीपयति प्रशान्तं न दर्पमारोहति नास्तमेति ।                            न दुर्गतोऽस्मीति करोत्यकार्यं तमार्यशीलं परमाहुरार्याः ॥                               ,Vidur Niti Slokas,"It does not burn enmity, but it does not rise, nor does it rise, nor does it set out.The noble ones say that he is not afflicted by saying that he is not miserable"
धर्मार्थकाममोश्रेषु यस्यैकोऽपि न विद्यते।                                जन्म जन्मानि मर्त्येषु मरणं तस्य केवलम्॥,Chanakya Slokas,"He who has none of Dharma, Artha, Kama and Moshra.Births and births among mortals are his only death."
 आयुः कर्म वित्तञ्च विद्या निधनमेव च।                                     पञ्चैतानि हि सृज्यन्ते गर्भस्थस्यैव देहिनः॥,Chanakya Slokas,"Life, action, wealth, knowledge and death.For these five are created by the embodied in the womb of the embodied."
सुव्याहृतानि सुक्तानि सुकृतानि ततस्ततः।                            सञ्चिन्वन् धीर आसीत् शिलाहरी शिलं यथा ॥    ,Vidur Niti Slokas,They were well uttered and well-dressed and well-dressed here and there.The steadfast rock like a rock was gathered together.
गृहीतेवाक्यो नयविद् वदान्यः शेषात्रभोक्ता ह्यविहिंसकश्च।                            नानार्थकृत्याकुलितः कृतज्ञः सत्यो मृदुः स्वर्गमुपैति विद्वान् ॥ ,Vidur Niti Slokas,"The statement of the grasp of the law is generous, and the rest is the enjoyer and the non-violent.A learned man who is agitated by various purposes and who is grateful and who is truthful and soft attains heaven"
अर्चयेदेव मित्राणि सति वाऽसति  वा धने।                             नानर्थयन् प्रजानति मित्राणं सारफल्गुताम् ॥    ,Vidur Niti Slokas,"One should worship friends in the case of wealth or wealth.He does not useless to know his friends, but it is the source of all fruition."
यथाशक्ति चिकीर्षन्ति यथाशक्ति च कुर्वते।                            न किञ्चिदवमन्यन्ते  नराः पण्डितबुद्धयः ॥ ,Vidur Niti Slokas,They want to do as much as they can and do as much as they can.Men who are wise in minds do not despise anything.
सुदुर्बलं नावजानाति कञ्चित् युक्तो रिपुं सेवते बुद्धिपूर्वम् ।                            न विग्रहं रोचयते बलस्थैः काले च यो विक्रमते स धीरः ॥ ,Vidur Niti Slokas,No one who is equipped with a very weak man serves an enemy with his intelligence.He who does not like to fight against the forces and who is prowess in time is a steadfast person.
 वृद्धसेवया विज्ञानत् ॥   ,sanskrit-slogan,Vrdhasevaya vijnanat.
 पितृदोषेण मूर्खता ॥  ,sanskrit-slogan,Pitradoshane foolishness
 विद्या मित्रं प्रवासेषु भार्या मित्रं गृहेषु च।                                   व्याधितस्यौषधं मित्रं धर्मो मित्रं मृतस्य च॥,Chanakya Slokas,Vidya is a friend in travels and a wife is a friend in homes.Medicine is a friend of the sick and righteousness is a friend of the dead
 सक्ष्मात् सर्वेषों कार्यसिद्धिभर्वति ॥   ,sanskrit-slogan,From the subtlety all these things are fulfilled.
 चिरनिरूपणीयो हि व्यक्तिस्वभावः ॥  ,sanskrit-slogan,The nature of the individual is to be determined for a long time.
   दृष्टिपूतं न्यसेत् पादं वस्त्रपूतं जलं पिवेत्।                                     शास्त्रपूतं वदेद् वाक्यं मनः पूतं समाचरेत्॥,Chanakya Slokas,One should place the feet clean of the eyes and drink the water purified by clothing.One should speak the words purified by the scriptures and practice the mind purified.
येषां न विद्या न तपो न दानं न चापि शीलं च गुणो न धर्मः।                                   ते मर्त्यलोके भुवि भारभूता मनुष्यरुपेण मृगाश्चरन्ति॥,Chanakya Slokas,"Those who have no knowledge, no austerities, no charity, no virtue, no virtue, no righteousness.They roam the deer in the form of men in the world of mortals in the form of a human being."
अनाहूत: प्रविशति अपृष्टो बहु भाषेते ।                            अविश्चस्ते  विश्चसिति  मूढचेता नराधम: ॥                               ,Vidur Niti Slokas,"Uninvited, he enters and speaks a lot without being asked.The foolish mind of the lowest of men is called Avi and Avischa."
यः सर्वभूतप्रशमे निविष्टः सत्यो मृदुर्मानकृच्छुद्धभावः ।                           अतीव स ज्ञायते ज्ञातिमध्ये महामणिर्जात्य इव प्रसन्नः ॥                               ,Vidur Niti Slokas,"He is the one who is settled in the relief of all beings, and is truthful, soft and self-sufficient.He is very much known in the midst of his relatives as if he were a great gem as if he were born"
अर्थागमो नित्यमरोगिता च प्रिया च भार्य प्रियवादिनी च ।                            वश्यश्च पुत्रोऽर्थकरी च विद्या षट् जीवलोकस्य सुखानि राजन् ॥ ,Vidur Niti Slokas,"She is always sick, dear to wealth, and loved wife and speaks pleasantly.My dear King, I have a submissive son and a wealth of wealth, and knowledge is the happiness of the six living entities."
 पादाभ्यां न स्पृशेदग्निं गुरुं ब्राह्मणमेव च।                                  नैव गावं कुमारीं च न वृद्धं न शिशुं तथा॥,Chanakya Slokas,"One should not touch the fire, the preceptor and the Brahmin with his feet.Neither the cows nor the maiden nor the old nor the child"
 अत्यन्तलेपः कटुता च वाणी दरिद्रता च स्वजनेषु वैरम्।                                    नीच प्रसङ्गः कुलहीनसेवा चिह्नानि देहे नरकस्थितानाम्॥,Chanakya Slokas,"Excessive ointment, bitterness, speech and poverty are enmity towards relatives.The lowly is the service without the family, the signs are signs in the body of those who are in hell."
 सर्वथा सुकरं मित्रं दुष्करं प्रतिपालनम् ॥  ,sanskrit-slogan,A friend is in every way that is difficult to protect and is difficult to take care of
 गुरुणामेव सर्वेषां माता गुरुतरा स्मृता ॥  ,sanskrit-slogan,The mother of all the spiritual masters is considered to be more guru.
शरीरमाद्यं खलु धर्मसाधनम्  ॥   ,sanskrit-slogan,The body is the original means of religion.
यस्मिन् यथा वर्तते यो मनुष्यस्तस्मिंस्तथा वर्तितव्यं स धर्मः।                            मायाचारो मायया वर्तितव्यः साध्वाचारः साधुना प्रत्युपेयः॥                               ,Vidur Niti Slokas,That is the Dharma in which a man should behave in the same way.The conduct of illusion should be conducted by illusion and the virtuous conduct should be resisted by the saintly person.
 भाग्यवन्तमपरीक्ष्यकारिणं श्रीः परित्यजति ॥   ,sanskrit-slogan,The goddess of fortune abandons the unfortunate one who is unable to examine her.
उत्साहवन्तः पुरुषाः नावसीदन्ति कर्मसु ॥   ,sanskrit-slogan,Men who are enthusiastic do not despair in their actions.
  यथा धेनु सहस्रेषु वत्सो गच्छति मातरम्।                               तथा यच्च कृतं कर्म कर्तारमनुगच्छति॥,Chanakya Slokas,Just as a cow goes to a mother in thousands of cowsand whatever action has been done follows the doer.
उपायेन जयो यदृग्रिपोस्तादृड्डं न हेतिभिः ॥   ,sanskrit-slogan,"By means of the means of victory, the sight of the Lord is not the source of the universe."
  उद्योगे नास्ति दारिद्रयं जपतो नास्ति पातकम्।                                      मौनेन कलहो नास्ति जागृतस्य च न भयम्॥,Chanakya Slokas,"There is no poverty in industry, and there is no sin in chanting.There is no quarrel by silence and there is no fear of awakening."
दारिद्रयनाशनं दानं शीलं दुर्गतिनाशनम्।                                  अज्ञानतानाशिनी प्रज्ञा भावना भयनाशिनी॥,Chanakya Slokas,"It destroys poverty, charity, character and destruction of misfortune.Wisdom destroys ignorance and destroys emotions and fear."
सहायास्तादृशा एव यादृशी भवितव्यता ॥   ,sanskrit-slogan,The same is true of the same as the help of the Lord.
त्रिविधं नरकस्येदं द्वारम नाशनमात्मन: ।                            काम: क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् ॥                               ,Vidur Niti Slokas,"There are three kinds of hell, and this is the gateway to destroy the self.Lust, anger and greed are the three elements, and therefore one should abandon these three."
  कः कालः कानि मित्राणि को देशः को व्ययागमोः।                                   कस्याहं का च मे शक्तिरिति चिन्त्यं मुहुर्मुहुः॥,Chanakya Slokas,"What time, what are the friends, what is the country, what is the expense?Whose I am I and what is my power?' I wonder again and again."
   उत्पन्नपश्चात्तापस्य बुद्धिर्भवति यादृशी ।                                      तादृशी यदि पूर्वा स्यात्कस्य स्यान्न महोदयः ॥,Chanakya Slokas,"The kind of intelligence that has arisen afterwards is the same.If such a former is the former, who will not be a great man?"
हिंसाबबलमसाधूनां राज्ञा दण्डविधिर्बलम्।                            शुश्रुषा तु बलं स्त्रीणां क्षमा गुणवतां बलम्॥ ,Vidur Niti Slokas,The king's punishment is the strength of violence and strengthThe strength of women is the strength of women and the strength of virtuous men
मूर्खस्तु परिहर्तव्यः प्रत्यक्षो द्विपदः पशुः।                                 भिनत्ति वाक्यशूलेन अदृश्ययं कण्टकं यथा ॥,Chanakya Slokas,"The fool should be avoided, the direct two-legged animal.It breaks through the spear of words, just as the thorn is invisible."
कर्मणा मनसा वाचा यदभीक्षणं निषेवते।                            तदेवापहरत्येनं तस्मात् कल्याणमाचरेत् ॥  ,Vidur Niti Slokas,"By action, mind, speech, which is served by the alms.That very same thing takes away from it, and therefore one should perform auspicious rituals."
 संस्कृतं भाषाणां जननी अस्ति ॥  ,sanskrit-slogan,Sanskrit is the mother of languages.
देशाचारान्   समयाञ्चातिधर्मान्  बुभूषते यः स परावरज्ञः ।                            स यत्र तत्राभिगतः सदैव महाजनस्याधिपत्यं करोति ॥ ,Vidur Niti Slokas,"He who enjoys the country, customs and time of time is a knower of the superiority.Wherever he comes there he always rules the great men"
गृहेऽपि पज्चेन्द्रियनिग्रहः तपः ॥   ,sanskrit-slogan,"Even in the house, the five senses are restrained, and austerity is austerity."
अतिवादं न प्रवदेत्र वादयेद् यो नाहतः प्रतिहन्यात्र घातयेत्।                            हन्तुं च यो नेच्छति पातकं वै तस्मै देवाः स्पृहयन्त्यागताय ॥    ,Vidur Niti Slokas,"He who does not speak excessive arguments here should kill him who is not struck and kills here.He who does not desire to kill the demigods, who is not seeking to kill the demigods, desiring to perform the sacrifice."
 जानन्नपि नरो दैवात्प्रकरोति विगर्हितम् ॥  ,sanskrit-slogan,"Even though he knows it, he is condemned by fate, even if he is condemned."
 शकटं पञ्चहस्तेन दशहस्तेन वाजिनम्।                                   हस्तिनं शतहस्तेन देशत्यागेन दुर्जनम्॥,Chanakya Slokas,The cart with five hands with ten hands and a horse.The elephant with a hundred hands and by abandoning the country was a bad guy.
 छात्राणां धर्मः अध्ययनम्  अस्ति ॥  ,sanskrit-slogan,The religion is the study of the students.
क्रोधो हर्षश्च दर्पश्च ह्रीः स्तम्भो मान्यमानिता।                            यमर्थान् नापकर्षन्ति स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas,"Anger, joy, pride, shyness, column, respected.A person who does not pull the objects of the material world is called a learned man."
मूर्खशिष्योपदेशेन दुष्टास्त्रीभरणेन च।                           दुःखितैः सम्प्रयोगेण पण्डितोऽप्यवसीदति॥,Chanakya Slokas,By the advice of a fool and a disciple of a wicked womanEven a wise man is depressed by the pain of the suffering.
सुखं च दुःखं च भवाभवौ च लाभालाभौ मरणं जीवितं च।                            पर्यायशः सर्वमेते स्पृशन्ति तस्माद् धीरो न हृष्येत्र शोचेत् ॥  ,Vidur Niti Slokas,"Happiness and pain and birth, gain and loss, death and life.All these are touched by the alternation, so the patient should not grieve for the rejoice."
 नात्यन्तं सरलेन भाव्यं गत्वा पश्य वनस्थलीम्।                                 छिद्यन्ते सरलास्तत्र कुब्जास्तिष्ठन्ति पादपाः॥,Chanakya Slokas,"Not too simple, go and look at the forest.The hunchbacks are cut down and the trees remain there."
ब्राह्मणं ब्राह्मणो वेद भर्ता वेद स्त्रियं तथा।                            अमात्यं नृपतिर्वेद राजा राजानमेव च॥                               ,Vidur Niti Slokas,"A Brahmin is a Brahmin, a Brahmin, a husband and a woman and a woman.The king and the king also know the king's ministers"
 जले तैलं खले गुह्यं पात्रे दानं मनागपि ।                                    प्राज्ञे शास्त्रं स्वयं याति विस्तारे वस्तुशक्तितः॥,Chanakya Slokas,"Oil in water is a secret in the vessel, and in a vessel, charity is also in the mind.In the wise, the scripture itself goes by the power of the object in expansion."
शोकः शौर्यपकर्षणः ॥   ,sanskrit-slogan,Grief is the removal of courage.
